,angry,calm,disgust,fearful,happy,neutral,sad,surprised
angry,76,0,0,0,0,0,0,0
calm,0,74,0,0,1,1,1,0
disgust,3,0,72,0,0,0,2,0
fearful,2,0,0,71,0,0,4,0
happy,2,0,0,3,70,1,0,1
neutral,0,0,0,0,0,38,0,0
sad,0,0,0,1,3,0,73,0
surprised,1,0,0,2,2,0,0,72
